"","y_plot","x_plot","mean_pdf","top25_pdf","bot25_pdf"
"1",-3,-3,0.0148850997027884,0.10859801917099,8.54624682049219e-58
"2",-2.9748743718593,-3,0.0148260963864236,0.107488811340762,2.05958952499798e-57
"3",-2.94974874371859,-3,0.0147949817234796,0.105066909896551,4.944953860643e-57
"4",-2.92462311557789,-3,0.0147797148175299,0.105648563657123,1.16784907355904e-56
"5",-2.89949748743719,-3,0.0147626269477683,0.110874314205973,2.70743729599037e-56
"6",-2.87437185929648,-3,0.014728377214137,0.11587219032174,6.2568789757007e-56
"7",-2.84924623115578,-3,0.0146707850421559,0.112454668830876,1.44094395936751e-55
"8",-2.82412060301508,-3,0.0145964623070566,0.113882026560099,3.30697466331264e-55
"9",-2.79899497487437,-3,0.0145239098724246,0.113473784748215,7.56106893521108e-55
"10",-2.77386934673367,-3,0.0144775026146334,0.114339006520785,1.70965746704421e-54
"11",-2.74874371859296,-3,0.0144777864805141,0.118864054663621,3.91002624134804e-54
"12",-2.72361809045226,-3,0.0145329014272646,0.123385124537155,8.82810192175052e-54
"13",-2.69849246231156,-3,0.0146352784221287,0.122941971854131,1.9860664753129e-53
"14",-2.67336683417085,-3,0.0147748154039686,0.122145487223949,4.51706010317185e-53
"15",-2.64824120603015,-3,0.0149574401946916,0.121255032683121,1.06912509690968e-52
"16",-2.62311557788945,-3,0.0151934773874504,0.119716213839464,2.52184960164553e-52
"17",-2.59798994974874,-3,0.0155124161767827,0.118851084535788,5.9282447747574e-52
"18",-2.57286432160804,-3,0.0159771753637584,0.118522896083338,1.38882562696911e-51
"19",-2.54773869346734,-3,0.0164993392320213,0.12472863462948,3.24251807430893e-51
"20",-2.52261306532663,-3,0.0167953954778799,0.129790747329741,7.544469244844e-51
"21",-2.49748743718593,-3,0.0168833408002368,0.132952000672236,1.74938406547989e-50
"22",-2.47236180904523,-3,0.0170446357874541,0.1326096093711,4.04250419550768e-50
"23",-2.44723618090452,-3,0.0173456295281876,0.138554786517699,8.08148214869807e-50
"24",-2.42211055276382,-3,0.0177178241220409,0.141429471978495,1.60633339247809e-49
"25",-2.39698492462312,-3,0.0181187193054825,0.138351001090612,3.18957599715115e-49
"26",-2.37185929648241,-3,0.0185099608335491,0.152218493866793,7.65610328848857e-49
"27",-2.34673366834171,-3,0.0188468734704908,0.152289721050223,1.90089111166439e-48
"28",-2.32160804020101,-3,0.0191165045964386,0.153167628485058,4.69576390994795e-48
"29",-2.2964824120603,-3,0.019363226907177,0.154236791189623,1.02725335551047e-47
"30",-2.2713567839196,-3,0.0196605295858649,0.157607000205475,2.23129798449672e-47
"31",-2.24623115577889,-3,0.0200557791299239,0.157160922053957,5.09040724540764e-47
"32",-2.22110552763819,-3,0.0205423567469539,0.159011615021797,1.16752938597583e-46
"33",-2.19597989949749,-3,0.0210745362690276,0.161913466090853,2.66736156329191e-46
"34",-2.17085427135678,-3,0.021601266821378,0.159425214467288,5.73969610003021e-46
"35",-2.14572864321608,-3,0.0220881260584074,0.162466506501415,1.20747737442338e-45
"36",-2.12060301507538,-3,0.0225040960118532,0.165002856311546,2.53203909072691e-45
"37",-2.09547738693467,-3,0.0227936201941782,0.158889521246369,5.29252550169331e-45
"38",-2.07035175879397,-3,0.0229095928614704,0.160011142546564,1.10269781258502e-44
"39",-2.04522613065327,-3,0.0228950874432512,0.163006886291556,2.29008142666724e-44
"40",-2.02010050251256,-3,0.0228673042240884,0.167508497205728,4.74073910779943e-44
"41",-1.99497487437186,-3,0.0228851355454012,0.158943915744633,9.66808589400207e-44
"42",-1.96984924623116,-3,0.0231627616421792,0.160111896264597,1.95452048358661e-43
"43",-1.94472361809045,-3,0.0238181133242896,0.163731969004887,3.93763747352204e-43
"44",-1.91959798994975,-3,0.0235676035402202,0.175397838918993,7.90545649364569e-43
"45",-1.89447236180905,-3,0.0240298220526763,0.178277613468335,1.58166256386773e-42
